GEOID10,CBSA,METRO_NAME,HRS2010,INTERVAL2010
39095004504,45780,"Toledo, OH",1.12,1
36005030900,35620,"New York-Newark-Jersey City, N",1.12,1
06037265700,31100,"Los Angeles-Long Beach, CA",1.12,1
37081010500,24660,"Greensboro-High Point, NC",1.12,1
05119001600,30780,Little Rock-North Little Rock-,1.12,1
18097322300,26900,"Indianapolis-Carmel-Anderson,",1.13,1
34039034800,35620,"New York-Newark-Jersey City, N",1.13,1
13121009501,12060,"Atlanta-Sandy Springs-Roswell,",1.13,1
09001035100,14860,"Bridgeport-Stamford-Norwalk, C",1.13,1
06001426100,41860,"San Francisco-Oakland-Hayward,",1.14,1
36005021001,35620,"New York-Newark-Jersey City, N",1.14,1
24510120100,12580,"Baltimore-Columbia-Towson, MD",1.14,1
48375010400,11100,"Amarillo, TX",1.14,1
17031720100,16980,"Chicago-Naperville-Elgin, IL-I",1.14,1
42045404400,37980,Philadelphia-Camden-Wilmington,1.14,1
17031800700,16980,"Chicago-Naperville-Elgin, IL-I",1.14,1
21111008700,31140,"Louisville/Jefferson County, K",1.14,1
36055012900,40380,"Rochester, NY",1.14,1
06037571900,31100,"Los Angeles-Long Beach, CA",1.14,1
26163538400,19820,"Detroit-Warren-Dearborn, MI",1.15,1
36119004700,35620,"New York-Newark-Jersey City, N",1.15,1
19153003002,19780,"Des Moines-West Des Moines, IA",1.15,1
36061027500,35620,"New York-Newark-Jersey City, N",1.15,1
48245005400,13140,"Beaumont-Port Arthur, TX",1.16,1
26163550100,19820,"Detroit-Warren-Dearborn, MI",1.16,1
08031004302,19740,"Denver-Aurora-Lakewood, CO",1.16,1
29189215800,41180,"St. Louis, MO-IL",1.16,1
06037234200,31100,"Los Angeles-Long Beach, CA",1.16,1
26163550300,19820,"Detroit-Warren-Dearborn, MI",1.17,1
06037600801,31100,"Los Angeles-Long Beach, CA",1.17,1
06001404700,41860,"San Francisco-Oakland-Hayward,",1.17,1
42101027300,37980,Philadelphia-Camden-Wilmington,1.17,1
19153003100,19780,"Des Moines-West Des Moines, IA",1.17,1
22017021600,43340,"Shreveport-Bossier City, LA",1.17,1
27123036400,33460,Minneapolis-St. Paul-Bloomingt,1.18,1
48245006300,13140,"Beaumont-Port Arthur, TX",1.18,1
06037480201,31100,"Los Angeles-Long Beach, CA",1.18,1
26163550600,19820,"Detroit-Warren-Dearborn, MI",1.18,1
39049000220,18140,"Columbus, OH",1.18,1
55079090700,33340,"Milwaukee-Waukesha-West Allis,",1.18,1
21117064900,17140,"Cincinnati, OH-KY-IN",1.18,1
44007016500,39300,"Providence-Warwick, RI-MA",1.19,1
42091204500,37980,Philadelphia-Camden-Wilmington,1.19,1
36065021701,46540,"Utica-Rome, NY",1.19,1
06037188202,31100,"Los Angeles-Long Beach, CA",1.19,1
36029006602,15380,Buffalo-Cheektowaga-Niagara Fa,1.19,1
36047004600,35620,"New York-Newark-Jersey City, N",1.19,1
06037125600,31100,"Los Angeles-Long Beach, CA",1.19,1
51710001700,47260,Virginia Beach-Norfolk-Newport,1.19,1
24510280401,12580,"Baltimore-Columbia-Towson, MD",1.19,1
06037703100,31100,"Los Angeles-Long Beach, CA",1.19,1
55079070200,33340,"Milwaukee-Waukesha-West Allis,",1.20,1
42101025600,37980,Philadelphia-Camden-Wilmington,1.20,1
27053010600,33460,Minneapolis-St. Paul-Bloomingt,1.20,1
08101001500,39380,"Pueblo, CO",1.20,1
48439102401,19100,"Dallas-Fort Worth-Arlington, T",1.20,1
39095002401,45780,"Toledo, OH",1.20,1
42045404500,37980,Philadelphia-Camden-Wilmington,1.20,1
25021401200,14460,"Boston-Cambridge-Newton, MA-NH",1.20,1
09009165200,35300,"New Haven-Milford, CT",1.20,1
21117064800,17140,"Cincinnati, OH-KY-IN",1.20,1
48113000300,19100,"Dallas-Fort Worth-Arlington, T",1.21,1
36067004600,45060,"Syracuse, NY",1.21,1
34013019800,35620,"New York-Newark-Jersey City, N",1.22,1
48453001605,12420,"Austin-Round Rock, TX",1.22,1
39049009000,18140,"Columbus, OH",1.22,1
06073006900,41740,"San Diego-Carlsbad, CA",1.22,1
39049002730,18140,"Columbus, OH",1.22,1
06077001200,44700,"Stockton-Lodi, CA",1.22,1
06073021800,41740,"San Diego-Carlsbad, CA",1.22,1
51760050300,40060,"Richmond, VA",1.22,1
31055006806,36540,"Omaha-Council Bluffs, NE-IA",1.23,1
18163000400,21780,"Evansville, IN-KY",1.23,1
39049009100,18140,"Columbus, OH",1.23,1
27053111400,33460,Minneapolis-St. Paul-Bloomingt,1.23,1
42049000200,21500,"Erie, PA",1.23,1
29189212300,41180,"St. Louis, MO-IL",1.23,1
55025000700,31540,"Madison, WI",1.23,1
39153530700,10420,"Akron, OH",1.23,1
17031120100,16980,"Chicago-Naperville-Elgin, IL-I",1.23,1
06037480002,31100,"Los Angeles-Long Beach, CA",1.23,1
42101027500,37980,Philadelphia-Camden-Wilmington,1.24,1
40109100700,36420,"Oklahoma City, OK",1.24,1
06075030600,41860,"San Francisco-Oakland-Hayward,",1.24,1
47037018000,34980,Nashville-Davidson--Murfreesbo,1.24,1
42101025500,37980,Philadelphia-Camden-Wilmington,1.24,1
20173002200,48620,"Wichita, KS",1.24,1
29510114102,41180,"St. Louis, MO-IL",1.24,1
36061028700,35620,"New York-Newark-Jersey City, N",1.24,1
48029190400,41700,"San Antonio-New Braunfels, TX",1.24,1
06037143100,31100,"Los Angeles-Long Beach, CA",1.24,1
12086006102,33100,Miami-Fort Lauderdale-West Pal,1.24,1
36061028100,35620,"New York-Newark-Jersey City, N",1.25,1
34013016300,35620,"New York-Newark-Jersey City, N",1.25,1
17097865600,16980,"Chicago-Naperville-Elgin, IL-I",1.25,1
21111008800,31140,"Louisville/Jefferson County, K",1.25,1
36005033500,35620,"New York-Newark-Jersey City, N",1.25,1
06073002001,41740,"San Diego-Carlsbad, CA",1.25,1
39035181100,17460,"Cleveland-Elyria, OH",1.25,1
51680001000,31340,"Lynchburg, VA",1.25,1
06037262302,31100,"Los Angeles-Long Beach, CA",1.25,1
42101027402,37980,Philadelphia-Camden-Wilmington,1.26,1
31055005000,36540,"Omaha-Council Bluffs, NE-IA",1.26,1
26163542100,19820,"Detroit-Warren-Dearborn, MI",1.26,1
34013016900,35620,"New York-Newark-Jersey City, N",1.26,1
39049002740,18140,"Columbus, OH",1.26,1
48029190800,41700,"San Antonio-New Braunfels, TX",1.26,1
36119004500,35620,"New York-Newark-Jersey City, N",1.26,1
39035196000,17460,"Cleveland-Elyria, OH",1.26,1
27137000700,20260,"Duluth, MN-WI",1.26,1
34013020901,35620,"New York-Newark-Jersey City, N",1.27,1
29189216600,41180,"St. Louis, MO-IL",1.27,1
36119004300,35620,"New York-Newark-Jersey City, N",1.27,1
31109001500,30700,"Lincoln, NE",1.27,1
28049001500,27140,"Jackson, MS",1.27,1
31109002500,30700,"Lincoln, NE",1.27,1
17031120200,16980,"Chicago-Naperville-Elgin, IL-I",1.27,1
48113019301,19100,"Dallas-Fort Worth-Arlington, T",1.27,1
36001001801,10580,"Albany-Schenectady-Troy, NY",1.27,1
39035160100,17460,"Cleveland-Elyria, OH",1.28,1
34013016400,35620,"New York-Newark-Jersey City, N",1.28,1
26163501100,19820,"Detroit-Warren-Dearborn, MI",1.28,1
36067005000,45060,"Syracuse, NY",1.28,1
39035140800,17460,"Cleveland-Elyria, OH",1.28,1
55025010100,31540,"Madison, WI",1.28,1
13121010002,12060,"Atlanta-Sandy Springs-Roswell,",1.28,1
39035187104,17460,"Cleveland-Elyria, OH",1.29,1
36029009501,15380,Buffalo-Cheektowaga-Niagara Fa,1.29,1
26125142600,19820,"Detroit-Warren-Dearborn, MI",1.29,1
40109101500,36420,"Oklahoma City, OK",1.29,1
33011000101,31700,"Manchester-Nashua, NH",1.29,1
48453001603,12420,"Austin-Round Rock, TX",1.29,1
40109100300,36420,"Oklahoma City, OK",1.29,1
